pais,anio,tecnologia_cod,tecnologia,pct,flag
AT,2021,E_AI_TANY,Cualquier IA,8.83,
BE,2021,E_AI_TANY,Cualquier IA,10.32,
BG,2021,E_AI_TANY,Cualquier IA,3.29,
CY,2021,E_AI_TANY,Cualquier IA,2.59,
CZ,2021,E_AI_TANY,Cualquier IA,4.46,
DE,2021,E_AI_TANY,Cualquier IA,10.56,
DK,2021,E_AI_TANY,Cualquier IA,23.89,
EE,2021,E_AI_TANY,Cualquier IA,2.77,
EL,2021,E_AI_TANY,Cualquier IA,2.61,
ES,2021,E_AI_TANY,Cualquier IA,7.67,
EU27_2020,2021,E_AI_TANY,Cualquier IA,7.65,
FI,2021,E_AI_TANY,Cualquier IA,15.79,
FR,2021,E_AI_TANY,Cualquier IA,6.67,
HR,2021,E_AI_TANY,Cualquier IA,8.74,
HU,2021,E_AI_TANY,Cualquier IA,2.98,
IE,2021,E_AI_TANY,Cualquier IA,7.88,
IT,2021,E_AI_TANY,Cualquier IA,6.17,
LT,2021,E_AI_TANY,Cualquier IA,4.45,
LU,2021,E_AI_TANY,Cualquier IA,13.0,
LV,2021,E_AI_TANY,Cualquier IA,3.72,
MT,2021,E_AI_TANY,Cualquier IA,10.16,
NL,2021,E_AI_TANY,Cualquier IA,13.1,
PL,2021,E_AI_TANY,Cualquier IA,2.86,
PT,2021,E_AI_TANY,Cualquier IA,7.2,
RO,2021,E_AI_TANY,Cualquier IA,1.38,
SE,2021,E_AI_TANY,Cualquier IA,9.92,
SI,2021,E_AI_TANY,Cualquier IA,11.73,
SK,2021,E_AI_TANY,Cualquier IA,5.19,
AT,2021,E_AI_TAR,Robots autonomos,1.02,
BE,2021,E_AI_TAR,Robots autonomos,1.71,
BG,2021,E_AI_TAR,Robots autonomos,0.27,
CY,2021,E_AI_TAR,Robots autonomos,0.13,
CZ,2021,E_AI_TAR,Robots autonomos,0.39,
DE,2021,E_AI_TAR,Robots autonomos,0.95,
DK,2021,E_AI_TAR,Robots autonomos,3.61,
EE,2021,E_AI_TAR,Robots autonomos,0.42,
EL,2021,E_AI_TAR,Robots autonomos,0.3,
ES,2021,E_AI_TAR,Robots autonomos,0.96,
EU27_2020,2021,E_AI_TAR,Robots autonomos,0.89,
FI,2021,E_AI_TAR,Robots autonomos,2.19,
FR,2021,E_AI_TAR,Robots autonomos,0.84,
HR,2021,E_AI_TAR,Robots autonomos,0.48,
HU,2021,E_AI_TAR,Robots autonomos,0.49,
IE,2021,E_AI_TAR,Robots autonomos,0.55,
IT,2021,E_AI_TAR,Robots autonomos,0.72,
LT,2021,E_AI_TAR,Robots autonomos,0.94,
LU,2021,E_AI_TAR,Robots autonomos,1.11,
LV,2021,E_AI_TAR,Robots autonomos,0.65,
MT,2021,E_AI_TAR,Robots autonomos,1.48,
NL,2021,E_AI_TAR,Robots autonomos,2.23,
PL,2021,E_AI_TAR,Robots autonomos,0.41,
PT,2021,E_AI_TAR,Robots autonomos,0.94,
RO,2021,E_AI_TAR,Robots autonomos,0.34,
SE,2021,E_AI_TAR,Robots autonomos,1.23,
SI,2021,E_AI_TAR,Robots autonomos,0.59,
SK,2021,E_AI_TAR,Robots autonomos,0.34,
AT,2021,E_AI_TIR,Vision por computador,2.13,
BE,2021,E_AI_TIR,Vision por computador,3.54,
BG,2021,E_AI_TIR,Vision por computador,0.86,
CY,2021,E_AI_TIR,Vision por computador,0.96,
CZ,2021,E_AI_TIR,Vision por computador,1.61,
DE,2021,E_AI_TIR,Vision por computador,2.65,
DK,2021,E_AI_TIR,Vision por computador,4.0,
EE,2021,E_AI_TIR,Vision por computador,1.18,
EL,2021,E_AI_TIR,Vision por computador,0.4,
ES,2021,E_AI_TIR,Vision por computador,3.09,
EU27_2020,2021,E_AI_TIR,Vision por computador,2.12,
FI,2021,E_AI_TIR,Vision por computador,4.31,
FR,2021,E_AI_TIR,Vision por computador,1.55,
HR,2021,E_AI_TIR,Vision por computador,2.24,
HU,2021,E_AI_TIR,Vision por computador,0.95,
IE,2021,E_AI_TIR,Vision por computador,2.0,
IT,2021,E_AI_TIR,Vision por computador,1.77,
LT,2021,E_AI_TIR,Vision por computador,1.53,
LU,2021,E_AI_TIR,Vision por computador,2.85,
LV,2021,E_AI_TIR,Vision por computador,1.74,
MT,2021,E_AI_TIR,Vision por computador,4.13,
NL,2021,E_AI_TIR,Vision por computador,3.77,
PL,2021,E_AI_TIR,Vision por computador,0.74,
PT,2021,E_AI_TIR,Vision por computador,2.36,
RO,2021,E_AI_TIR,Vision por computador,0.52,
SE,2021,E_AI_TIR,Vision por computador,2.11,
SI,2021,E_AI_TIR,Vision por computador,7.59,
