pais,anio,size_emp,size_label,pct,flag
ES,2021,0-9,Micro (0-9),3.42,
PT,2021,0-9,Micro (0-9),3.66,
SE,2021,0-9,Micro (0-9),,
AT,2021,10-49,Pequenas (10-49),7.14,
BE,2021,10-49,Pequenas (10-49),8.0,
BG,2021,10-49,Pequenas (10-49),2.6,
CY,2021,10-49,Pequenas (10-49),1.95,
CZ,2021,10-49,Pequenas (10-49),2.75,
DE,2021,10-49,Pequenas (10-49),8.9,
DK,2021,10-49,Pequenas (10-49),19.74,
EE,2021,10-49,Pequenas (10-49),1.8,
EL,2021,10-49,Pequenas (10-49),1.97,
ES,2021,10-49,Pequenas (10-49),6.07,
EU27_2020,2021,10-49,Pequenas (10-49),6.12,
FI,2021,10-49,Pequenas (10-49),12.37,
FR,2021,10-49,Pequenas (10-49),5.03,
HR,2021,10-49,Pequenas (10-49),8.06,
HU,2021,10-49,Pequenas (10-49),2.53,
IE,2021,10-49,Pequenas (10-49),6.05,
IT,2021,10-49,Pequenas (10-49),5.35,
LT,2021,10-49,Pequenas (10-49),3.18,
LU,2021,10-49,Pequenas (10-49),11.53,
LV,2021,10-49,Pequenas (10-49),2.79,
MT,2021,10-49,Pequenas (10-49),8.34,
NL,2021,10-49,Pequenas (10-49),10.1,
PL,2021,10-49,Pequenas (10-49),1.88,
PT,2021,10-49,Pequenas (10-49),5.29,
RO,2021,10-49,Pequenas (10-49),1.06,
SE,2021,10-49,Pequenas (10-49),7.63,
SI,2021,10-49,Pequenas (10-49),9.42,
SK,2021,10-49,Pequenas (10-49),4.11,
AT,2021,50-249,Medianas (50-249),14.57,
BE,2021,50-249,Medianas (50-249),16.89,
BG,2021,50-249,Medianas (50-249),5.19,
CY,2021,50-249,Medianas (50-249),5.32,
CZ,2021,50-249,Medianas (50-249),7.63,
DE,2021,50-249,Medianas (50-249),14.8,
DK,2021,50-249,Medianas (50-249),37.25,
EE,2021,50-249,Medianas (50-249),5.32,
EL,2021,50-249,Medianas (50-249),7.53,
ES,2021,50-249,Medianas (50-249),13.36,
EU27_2020,2021,50-249,Medianas (50-249),12.55,
FI,2021,50-249,Medianas (50-249),26.66,
FR,2021,50-249,Medianas (50-249),13.07,
HR,2021,50-249,Medianas (50-249),9.85,
HU,2021,50-249,Medianas (50-249),3.73,
IE,2021,50-249,Medianas (50-249),13.19,
IT,2021,50-249,Medianas (50-249),10.02,
LT,2021,50-249,Medianas (50-249),7.71,
LU,2021,50-249,Medianas (50-249),14.88,
LV,2021,50-249,Medianas (50-249),6.75,
MT,2021,50-249,Medianas (50-249),17.82,
NL,2021,50-249,Medianas (50-249),21.44,
PL,2021,50-249,Medianas (50-249),4.96,
PT,2021,50-249,Medianas (50-249),13.4,
RO,2021,50-249,Medianas (50-249),1.9,
SE,2021,50-249,Medianas (50-249),18.09,
SI,2021,50-249,Medianas (50-249),19.84,
SK,2021,50-249,Medianas (50-249),7.01,
AT,2021,GE10,>=10 (total),8.83,
BE,2021,GE10,>=10 (total),10.32,
BG,2021,GE10,>=10 (total),3.29,
CY,2021,GE10,>=10 (total),2.59,
CZ,2021,GE10,>=10 (total),4.46,
DE,2021,GE10,>=10 (total),10.56,
DK,2021,GE10,>=10 (total),23.89,
EE,2021,GE10,>=10 (total),2.77,
EL,2021,GE10,>=10 (total),2.61,
ES,2021,GE10,>=10 (total),7.67,
EU27_2020,2021,GE10,>=10 (total),7.65,
FI,2021,GE10,>=10 (total),15.79,
FR,2021,GE10,>=10 (total),6.67,
HR,2021,GE10,>=10 (total),8.74,
HU,2021,GE10,>=10 (total),2.98,
IE,2021,GE10,>=10 (total),7.88,
IT,2021,GE10,>=10 (total),6.17,
LT,2021,GE10,>=10 (total),4.45,
LU,2021,GE10,>=10 (total),13.0,
LV,2021,GE10,>=10 (total),3.72,
MT,2021,GE10,>=10 (total),10.16,
NL,2021,GE10,>=10 (total),13.1,
PL,2021,GE10,>=10 (total),2.86,
PT,2021,GE10,>=10 (total),7.2,
RO,2021,GE10,>=10 (total),1.38,
SE,2021,GE10,>=10 (total),9.92,
SI,2021,GE10,>=10 (total),11.73,
SK,2021,GE10,>=10 (total),5.19,
AT,2021,GE250,Grandes (>=250),31.73,
BE,2021,GE250,Grandes (>=250),41.44,
BG,2021,GE250,Grandes (>=250),14.72,
CY,2021,GE250,Grandes (>=250),12.91,
CZ,2021,GE250,Grandes (>=250),24.38,
DE,2021,GE250,Grandes (>=250),30.92,
DK,2021,GE250,Grandes (>=250),66.22,
EE,2021,GE250,Grandes (>=250),21.23,
EL,2021,GE250,Grandes (>=250),9.85,
ES,2021,GE250,Grandes (>=250),32.34,
EU27_2020,2021,GE250,Grandes (>=250),28.41,
FI,2021,GE250,Grandes (>=250),51.17,
FR,2021,GE250,Grandes (>=250),30.95,
HR,2021,GE250,Grandes (>=250),21.54,
HU,2021,GE250,Grandes (>=250),13.23,
IE,2021,GE250,Grandes (>=250),31.15,
IT,2021,GE250,Grandes (>=250),24.33,
LT,2021,GE250,Grandes (>=250),18.81,
LU,2021,GE250,Grandes (>=250),38.95,
LV,2021,GE250,Grandes (>=250),17.33,
MT,2021,GE250,Grandes (>=250),18.75,
NL,2021,GE250,Grandes (>=250),40.56,
PL,2021,GE250,Grandes (>=250),17.46,
PT,2021,GE250,Grandes (>=250),28.27,
RO,2021,GE250,Grandes (>=250),7.13,
SE,2021,GE250,Grandes (>=250),40.29,
SI,2021,GE250,Grandes (>=250),36.43,
SK,2021,GE250,Grandes (>=250),19.44,
ES,2023,0-9,Micro (0-9),4.52,
PT,2023,0-9,Micro (0-9),2.42,
SE,2023,0-9,Micro (0-9),,
AT,2023,10-49,Pequenas (10-49),8.94,
BE,2023,10-49,Pequenas (10-49),10.61,
BG,2023,10-49,Pequenas (10-49),2.96,
CY,2023,10-49,Pequenas (10-49),3.74,
CZ,2023,10-49,Pequenas (10-49),4.0,
DE,2023,10-49,Pequenas (10-49),9.68,
DK,2023,10-49,Pequenas (10-49),12.37,
EE,2023,10-49,Pequenas (10-49),4.12,
EL,2023,10-49,Pequenas (10-49),3.54,
ES,2023,10-49,Pequenas (10-49),6.39,
EU27_2020,2023,10-49,Pequenas (10-49),6.41,
FI,2023,10-49,Pequenas (10-49),11.48,
FR,2023,10-49,Pequenas (10-49),4.72,b
HR,2023,10-49,Pequenas (10-49),6.98,
HU,2023,10-49,Pequenas (10-49),2.98,
IE,2023,10-49,Pequenas (10-49),5.27,
IT,2023,10-49,Pequenas (10-49),4.36,
LT,2023,10-49,Pequenas (10-49),3.4,
LU,2023,10-49,Pequenas (10-49),12.26,
LV,2023,10-49,Pequenas (10-49),3.47,
MT,2023,10-49,Pequenas (10-49),10.75,
NL,2023,10-49,Pequenas (10-49),11.75,
