pais,anio,ind_type,sexo,grupo,indic_is,indicador,pct,flag
AT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,10.7,
BE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,5.68,
BG,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,1.33,
CY,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,5.82,
CZ,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,15.58,
DE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,6.59,
DK,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,20.42,
EE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,22.26,
EL,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,1.74,
ES,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,12.3,
EU27_2020,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,10.18,
FI,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,41.68,
FR,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,15.49,
HR,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,4.56,
HU,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,6.33,
IE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,2.19,u
IT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,5.51,
LT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,20.02,
LU,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,7.4,
LV,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,22.61,
MT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,11.96,
NL,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,26.82,
PL,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,16.79,
PT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,4.44,
RO,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,1.5,
SE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,27.05,
SI,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,12.52,
SK,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_AB,Por encima de basicas,8.29,
AT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,24.5,
BE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,18.03,
BG,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,7.27,
CY,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,14.86,
CZ,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,25.77,
DE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,19.51,
DK,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,30.87,
EE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,25.84,
EL,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,12.88,
ES,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,21.98,
EU27_2020,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,18.66,
FI,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,27.67,
FR,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,21.68,
HR,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,13.76,
HU,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,14.3,
IE,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,26.11,u
IT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,13.03,
LT,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,26.87,
LU,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,27.91,
LV,2021,F_I0_2,Mujeres,Educacion baja,I_DSK2_B,Basicas,24.22,
