pais,anio,adopcion_ia,brecha_tamano,hab_avanzada_total,brecha_genero_hab,delta_ia_2325,z_oferta,z_demanda,gap_oferta_demanda
AT,2021,8.83,24.59,33.28,8.880000000000003,19.16,0.22444492977094485,0.5352532218665919,-0.310808292095647
BE,2021,10.32,33.44,26.34,6.370000000000001,20.729999999999997,0.5206857278249182,-0.14178031879333777,0.6624660466182559
BG,2021,3.29,12.120000000000001,7.82,0.9900000000000002,4.930000000000001,-0.8770141448726875,-1.9485038307561469,1.0714896858834595
CY,2021,2.59,10.96,20.95,-3.479999999999997,4.6,-1.016187674159789,-0.6676031983548681,-0.3485844758049209
CZ,2021,4.46,21.63,24.06,3.789999999999999,11.700000000000001,-0.6443955316356749,-0.36420632350582194,-0.28018920812985293
DE,2021,10.56,22.020000000000003,18.84,6.020000000000001,14.419999999999998,0.5684023664376388,-0.8734448079791406,1.4418471744167793
DK,2021,23.89,46.480000000000004,37.37,9.910000000000004,26.86,3.2186640027191586,0.934254256635916,2.2844097460832424
EE,2021,2.77,19.43,27.68,1.7800000000000011,18.209999999999997,-0.9804001952002487,-0.011056263392141016,-0.9693439318081076
EL,2021,2.61,7.88,21.7,0.7800000000000011,4.949999999999999,-1.012211287608729,-0.5944367494362879,-0.41777453817244115
ES,2021,7.67,26.270000000000003,38.06,2.490000000000002,11.09,-0.006185490190537754,1.0015673896410102,-1.007752879831548
EU27_2020,2021,7.65,22.29,26.46,3.780000000000001,11.889999999999999,,,
FI,2021,15.79,38.800000000000004,48.13,0.36999999999999744,22.72,1.60822744953984,1.9839489104544816,-0.37572146091464154
FR,2021,6.67,25.919999999999998,31.25,-0.03999999999999915,12.280000000000001,-0.20500481774353999,0.33721603346030116,-0.5422208512038411
HR,2021,8.74,13.479999999999999,31.18,7.049999999999997,7.3,0.2065511902911747,0.330387164894567,-0.1238359746033923
HU,2021,2.98,10.700000000000001,21.54,4.0,6.6899999999999995,-0.938648136414118,-0.6100455918722516,-0.32860254454186644
IE,2021,7.88,25.099999999999998,39.69,6.200000000000003,11.63,0.03556656859559271,1.160582471957391,-1.1250159033617981
IT,2021,6.17,18.979999999999997,22.52,5.129999999999999,11.349999999999998,-0.3044144815200411,-0.5144414319519733,0.21002695043193226
LT,2021,4.45,15.629999999999999,23.01,-1.1999999999999993,16.44,-0.6463837249112049,-0.46663935199183404,-0.17974437291937084
LU,2021,13.0,27.42,31.81,9.400000000000002,19.16,1.053521525666964,0.3918469819861743,0.6616745436807898
LV,2021,3.72,14.54,23.79,-0.8599999999999994,7.680000000000001,-0.7915218340248965,-0.3905462451165108,-0.4009755889083857
MT,2021,10.16,10.41,35.49,0.010000000000005116,8.340000000000002,0.48887463541643783,0.7508503580133419,-0.26197572259690405
NL,2021,13.1,30.46,51.77,8.530000000000001,19.11,1.0734034584222643,2.339050075872658,-1.2656466174503935
PL,2021,2.86,15.580000000000002,20.64,1.6700000000000017,4.6899999999999995,-0.9625064557204785,-0.6978453305745478,-0.26466112514593076
PT,2021,7.2,22.98,28.54,1.8900000000000006,3.679999999999999,-0.09963057414044875,0.07284126470116432,-0.17247183884161307
RO,2021,1.38,6.07,8.73,2.54,3.7,-1.2567590604989218,-1.8597285394016028,0.6029694789026809
SE,2021,9.92,32.66,35.68,5.950000000000003,24.67,0.44115799680371726,0.7693858584060487,-0.3282278616023314
SI,2021,11.73,27.009999999999998,19.72,2.120000000000001,10.24,0.8010209796746514,-0.7875961745813398,1.5886171542559913
SK,2021,5.19,15.330000000000002,20.83,5.66,10.96,-0.4992574225219832,-0.6793098301818411,0.18005240765985792
AT,2023,10.79,26.310000000000002,32.04,8.070000000000004,19.16,0.6118406599651655,0.2694191494204839,0.34242151054468156
BE,2023,13.81,37.25,28.26,4.880000000000003,20.729999999999997,1.3356109691710212,-0.061948871667182936,1.3975598408382042
BG,2023,3.62,10.79,7.73,0.14999999999999947,4.930000000000001,-1.1065146767917824,-1.8616804782623695,0.7551658014705871
CY,2023,4.67,11.79,24.96,0.7899999999999991,4.6,-0.8548726818692168,-0.3512384138865749,-0.503634267982642
CZ,2023,5.9,24.34,35.48,1.0799999999999983,11.700000000000001,-0.5600920592456399,0.5709815813097892,-1.131073640555429
DE,2023,11.55,25.71,19.79,6.18,14.419999999999998,0.7939815324805467,-0.8044586966969557,1.5984402291775024
DK,2023,15.17,39.06,39.37,11.560000000000002,26.86,1.6615472673564393,0.9119925871381027,0.7495546802183366
EE,2023,5.19,18.91,34.84,3.9100000000000037,18.209999999999997,-0.7302499796218509,0.5148769428187562,-1.245126922440607
EL,2023,3.98,10.420000000000002,20.02,1.120000000000001,4.949999999999999,-1.0202374213897598,-0.7842960922392405,-0.23594132915051935
ES,2023,9.18,33.269999999999996,38.65,2.5700000000000003,11.09,0.2259896010838983,0.8488748688356901,-0.6228852677517918
EU27_2020,2023,8.06,24.07,27.32,3.900000000000002,11.889999999999999,,,
FI,2023,15.1,41.849999999999994,53.63,-3.039999999999999,22.72,1.6447711343616016,2.162074063516445,-0.5173029291548434
FR,2023,5.88,16.220000000000002,30.62,2.7600000000000016,12.280000000000001,-0.5648852401013079,0.14493698276850334,-0.7098222228698112
HR,2023,7.89,12.309999999999999,25.0,3.7300000000000004,7.3,-0.08317056410668235,-0.34773187398088534,0.264561309874203
HU,2023,3.68,14.45,28.13,4.82,6.6899999999999995,-1.0921351342247787,-0.07334512636067436,-1.0187900078641043
IE,2023,8.01,31.02,43.82,16.39,11.63,-0.054411478972674815,1.3020951516460708,-1.3565066306187457
IT,2023,5.05,19.72,22.21,3.650000000000002,11.349999999999998,-0.7638022456115264,-0.5923130324027348,-0.17148921320879162
LT,2023,4.86,17.93,25.9,-2.530000000000001,16.44,-0.8093374637403715,-0.2688347261028695,-0.540502737637502
LU,2023,14.45,29.57,27.86,8.79,19.16,1.4889927565523942,-0.09701427072407912,1.5860070272764732
LV,2023,4.53,17.790000000000003,16.55,-1.160000000000002,7.680000000000001,-0.8884249478588923,-1.088488429057813,0.2000634811989207
MT,2023,13.17,21.78,36.67,-0.03999999999999915,8.340000000000002,1.1822291817896478,0.6753011435040551,0.5069280382855926
NL,2023,14.1,29.9,54.53,5.07,19.11,1.4051120915782058,2.240971211394461,-0.8358591198162553
PL,2023,3.67,22.13,20.05,2.4499999999999993,4.6899999999999995,-1.0945317246526127,-0.7816661873099731,-0.31286553734263967
PT,2023,7.86,29.669999999999998,29.93,3.25,3.679999999999999,-0.09036033539018407,0.08444916939535764,-0.1748095047855417
RO,2023,1.51,7.01,8.97,1.549999999999999,3.7,-1.6121952570647478,-1.7529777411859921,0.1407824841212444
SE,2023,10.37,29.130000000000003,36.51,5.239999999999995,24.67,0.5111838619961392,0.6612749838812965,-0.15009112188515727
SI,2023,11.37,44.309999999999995,18.88,3.6099999999999994,10.24,0.7508429047795351,-0.8842324795513941,1.6350753843309291
SK,2023,7.04,15.940000000000001,21.7,3.4299999999999997,10.96,-0.2868807504725687,-0.6370214162002773,0.3501406657277086
AT,2024,20.27,32.11,,,19.16,0.834681166886436,,
BE,2024,24.71,45.56999999999999,,,20.729999999999997,1.4532998889040305,,
BG,2024,6.47,14.740000000000002,,,4.930000000000001,-1.088052698843925,,
CY,2024,7.9,28.609999999999996,,,4.6,-0.8888128852211411,,
CZ,2024,11.26,31.759999999999998,,,11.700000000000001,-0.4206689874780967,,
DE,2024,19.75,31.28,,,14.419999999999998,0.7622303255690601,,
DK,2024,27.58,39.870000000000005,,,26.86,1.8531728015595474,,
EE,2024,13.89,26.85,,,18.209999999999997,-0.054234924661368415,,
EL,2024,9.81,16.07,,,4.949999999999999,-0.6226953719207795,,
ES,2024,11.31,35.4,,,11.09,-0.41370256042834896,,
EU27_2020,2024,13.48,29.96,,,11.889999999999999,,,
FI,2024,24.37,50.38000000000001,,,22.72,1.4059281849657463,,
FR,2024,9.91,24.230000000000004,,,12.280000000000001,-0.6087625178212842,,
HR,2024,11.76,17.85,,,7.3,-0.3510047169806199,,
HU,2024,7.41,16.96,,,6.6899999999999995,-0.9570838703086684,,
IE,2024,14.9,39.09,,,11.63,0.08648690174353478,,
IT,2024,8.2,25.61,,,11.349999999999998,-0.8470143229226551,,
LT,2024,8.76,24.700000000000003,,,16.44,-0.7689903399654809,,
LU,2024,23.73,24.48,,,19.16,1.316757918728976,,
LV,2024,8.83,26.089999999999996,,,7.680000000000001,-0.7592373420958342,,
MT,2024,17.3,32.43,,,8.340000000000002,0.4208754001314237,,
NL,2024,23.06,34.11,,,19.11,1.2234077962623566,,
PL,2024,5.9,29.020000000000003,,,4.6899999999999995,-1.1674699672110485,,
PT,2024,8.63,35.230000000000004,,,3.679999999999999,-0.7871030502948249,,
RO,2024,3.07,8.69,,,3.7,-1.5617697382267675,,
SE,2024,25.09,34.290000000000006,,,24.67,1.5062447344821128,,
SI,2024,20.89,40.44,,,10.24,0.9210648623033074,,
SK,2024,10.78,20.32,,,10.96,-0.48754668715567456,,
AT,2025,29.95,42.080000000000005,34.26,4.810000000000002,19.16,0.898851796041558,0.19472201831460387,0.7041297777269541
BE,2025,34.54,47.589999999999996,29.69,4.280000000000001,20.729999999999997,1.3462919594550793,-0.18075461615701638,1.5270465756120957
BG,2025,8.55,19.009999999999998,11.77,-1.0999999999999996,4.930000000000001,-1.187252669546537,-1.6530831259450776,0.4658304563985405
CY,2025,9.27,27.35,18.26,-2.0700000000000003,4.6,-1.1170659772463771,-1.119857008281879,0.002791031035501934
CZ,2025,17.6,40.72,37.34,2.3200000000000003,11.700000000000001,-0.3050449399403566,0.4477784809344273,-0.7528234208747839
DE,2025,25.97,33.93000000000001,24.21,7.140000000000001,14.419999999999998,0.5108753580490056,-0.6309979327663119,1.1418732908153175
DK,2025,42.03,37.06999999999999,53.04,6.299999999999997,26.86,2.0764285224109127,1.737709150782226,0.3387193716286867
EE,2025,23.4,32.16,33.65,-1.8900000000000006,18.209999999999997,0.26034785914426706,0.14460369292561298,0.11574416621865408
EL,2025,8.93,30.25,27.47,2.919999999999998,4.949999999999999,-1.150209693054786,-0.3631524560972786,-0.7870572369575075
ES,2025,20.27,40.29,38.86,3.9100000000000037,11.09,-0.044769289327262644,0.5726634884610928,-0.6174327777883555
EU27_2020,2025,19.95,38.03,31.43,4.360000000000003,11.889999999999999,,,
FI,2025,37.82,45.89000000000001,54.91,0.21000000000000085,22.72,1.6660313354891427,1.8913505745156898,-0.22531923902654705
FR,2025,18.16,42.97,34.99,4.729999999999997,12.280000000000001,-0.25045529037356545,0.2546996864030687,-0.5051549767766341
HR,2025,15.19,26.8,27.66,-0.9100000000000001,7.3,-0.5399753961117264,-0.34754183015644524,-0.19243356595528116
HU,2025,10.37,31.290000000000003,34.05,3.25,6.6899999999999995,-1.0098363084544657,0.17746816859052494,-1.1873044770449908
IE,2025,19.64,40.52,54.41,12.43,11.63,-0.10618264508990273,1.8502699799345497,-1.9564526250244525
IT,2025,16.4,38.86,31.51,4.66,11.349999999999998,-0.42202276044062387,-0.03122125188166639,-0.39080150855895746
LT,2025,21.3,33.69,27.33,-0.6799999999999997,16.44,0.055636673268799994,-0.3746550225799979,0.4302916958487979
LU,2025,33.61,27.49,28.12,7.440000000000001,19.16,1.2556341485673723,-0.3097476831417963,1.5653818317091686
LV,2025,12.21,37.32000000000001,20.14,-0.6499999999999986,7.680000000000001,-0.8304703170207227,-0.9653939726567923,0.13492365563606956
MT,2025,21.51,33.71,38.04,-1.9899999999999949,8.340000000000002,0.07610779185634681,0.5052913133480231,-0.4291835214916763
NL,2025,33.21,38.879999999999995,55.61,6.270000000000003,19.11,1.2166415417339502,1.948863406929286,-0.7322218651953358
PL,2025,8.36,40.02,23.55,0.010000000000001563,4.6899999999999995,-1.2057741577924128,-0.6852243176134168,-0.520549840178996
PT,2025,11.54,39.72,31.97,4.289999999999999,3.679999999999999,-0.8957829334667052,0.006572895132982276,-0.9023558285996875
RO,2025,5.21,16.62,11.13,1.3399999999999999,3.7,-1.5128409366056137,-1.7056662870089367,0.19282535040332305
SE,2025,35.04,41.13000000000001,38.1,7.850000000000001,24.67,1.3950327179968574,0.5102209846977601,0.8848117332990972
SI,2025,21.61,53.449999999999996,19.8,1.2199999999999989,10.24,0.08585594356470219,-0.9933287769719675,1.0791847205366698
SK,2025,18.0,28.150000000000002,21.16,5.370000000000001,10.96,-0.2660523331069344,-0.8815895597112665,0.6155372266043322
